Nintendo DSi || 7 Wonders II (USA) || Nintendo/Nintendo DSi/7 Wonders II (USA)/7 Wonders II (USA).json
Nintendo DSi || Legend of Zelda, The - Four Swords Anniversary Edition (USA) (En,Fr,Es) || Nintendo/Nintendo DSi/Legend of Zelda, The - Four Swords Anniversary Edition (USA) (En,Fr,Es)/Legend of Zelda, The - Four Swords Anniversary Edition (USA) (En,Fr,Es).json
Nintendo DSi || Little Red Riding Hood's Zombie BBQ (USA) || Nintendo/Nintendo DSi/Little Red Riding Hood's Zombie BBQ (USA)/Little Red Riding Hood's Zombie BBQ (USA).json
Nintendo DSi || Looksley's Line Up (USA) || Nintendo/Nintendo DSi/Looksley's Line Up (USA)/Looksley's Line Up (USA).json
Nintendo DSi || Mario Calculator (USA) (Rev 1) || Nintendo/Nintendo DSi/Mario Calculator (USA) (Rev 1)/Mario Calculator (USA) (Rev 1).json
Nintendo DSi || Mario Clock (USA) (Rev 1) || Nintendo/Nintendo DSi/Mario Clock (USA) (Rev 1)/Mario Clock (USA) (Rev 1).json
Nintendo DSi || Mario vs. Donkey Kong - Minis March Again! (USA) (Rev 1) || Nintendo/Nintendo DSi/Mario vs. Donkey Kong - Minis March Again! (USA) (Rev 1)/Mario vs. Donkey Kong - Minis March Again! (USA) (Rev 1).json
Nintendo DSi || Mighty Flip Champs! (USA) || Nintendo/Nintendo DSi/Mighty Flip Champs! (USA)/Mighty Flip Champs! (USA).json
Nintendo DSi || Mighty Milky Way (USA) || Nintendo/Nintendo DSi/Mighty Milky Way (USA)/Mighty Milky Way (USA).json
Nintendo DSi || Nintendo 3DS Transfer Tool (USA) (Rev 1) || Nintendo/Nintendo DSi/Nintendo 3DS Transfer Tool (USA) (Rev 1)/Nintendo 3DS Transfer Tool (USA) (Rev 1).json
Nintendo DSi || Nintendo DSi + Internet (USA) (Pre-install Only) || Nintendo/Nintendo DSi/Nintendo DSi + Internet (USA) (Pre-install Only)/Nintendo DSi + Internet (USA) (Pre-install Only).json
Nintendo DSi || Nintendo DSi - Instrument Tuner (USA) || Nintendo/Nintendo DSi/Nintendo DSi - Instrument Tuner (USA)/Nintendo DSi - Instrument Tuner (USA).json
Nintendo DSi || Nintendo DSi Browser (USA) (Rev 3) || Nintendo/Nintendo DSi/Nintendo DSi Browser (USA) (Rev 3)/Nintendo DSi Browser (USA) (Rev 3).json
Nintendo DSi || Nintendo DSi Camera (USA) (Rev 4) || Nintendo/Nintendo DSi/Nintendo DSi Camera (USA) (Rev 4)/Nintendo DSi Camera (USA) (Rev 4).json
Nintendo DSi || Nintendo DSi Metronome (USA) || Nintendo/Nintendo DSi/Nintendo DSi Metronome (USA)/Nintendo DSi Metronome (USA).json
Nintendo DSi || Nintendo DSi Shop (USA) (Rev 12) || Nintendo/Nintendo DSi/Nintendo DSi Shop (USA) (Rev 12)/Nintendo DSi Shop (USA) (Rev 12).json
Nintendo DSi || Nintendo DSi Sound (USA) (Rev 2) || Nintendo/Nintendo DSi/Nintendo DSi Sound (USA) (Rev 2)/Nintendo DSi Sound (USA) (Rev 2).json
Nintendo DSi || Penguin Patrol (USA) || Nintendo/Nintendo DSi/Penguin Patrol (USA)/Penguin Patrol (USA).json
Nintendo DSi || Photo Dojo (USA) || Nintendo/Nintendo DSi/Photo Dojo (USA)/Photo Dojo (USA).json
Nintendo DSi || Plants vs. Zombies (USA) || Nintendo/Nintendo DSi/Plants vs. Zombies (USA)/Plants vs. Zombies (USA).json
Nintendo DSi || Retro Pocket (USA) || Nintendo/Nintendo DSi/Retro Pocket (USA)/Retro Pocket (USA).json
Nintendo DSi || Rhythm Core Alpha (USA) || Nintendo/Nintendo DSi/Rhythm Core Alpha (USA)/Rhythm Core Alpha (USA).json
Nintendo DSi || Rhythm Core Alpha 2 (USA) || Nintendo/Nintendo DSi/Rhythm Core Alpha 2 (USA)/Rhythm Core Alpha 2 (USA).json
Nintendo DSi || Rytmik Retrobits (USA) || Nintendo/Nintendo DSi/Rytmik Retrobits (USA)/Rytmik Retrobits (USA).json
Nintendo DSi || Soul of Darkness (USA) || Nintendo/Nintendo DSi/Soul of Darkness (USA)/Soul of Darkness (USA).json
Nintendo DSi || Starship Defense (USA) || Nintendo/Nintendo DSi/Starship Defense (USA)/Starship Defense (USA).json
Nintendo DSi || SteamWorld Tower Defense (USA) || Nintendo/Nintendo DSi/SteamWorld Tower Defense (USA)/SteamWorld Tower Defense (USA).json
Nintendo DSi || Topsy Turvy Life, A - The Turvys Strike Back (USA) || Nintendo/Nintendo DSi/Topsy Turvy Life, A - The Turvys Strike Back (USA)/Topsy Turvy Life, A - The Turvys Strike Back (USA).json
Nintendo DSi || Topsy Turvy Life, A - Turvy Drops (USA) || Nintendo/Nintendo DSi/Topsy Turvy Life, A - Turvy Drops (USA)/Topsy Turvy Life, A - Turvy Drops (USA).json
Nintendo DSi || Touch Solitaire (USA) || Nintendo/Nintendo DSi/Touch Solitaire (USA)/Touch Solitaire (USA).json
Nintendo DSi || WarioWare - Snapped! (USA) (Rev 1) || Nintendo/Nintendo DSi/WarioWare - Snapped! (USA) (Rev 1)/WarioWare - Snapped! (USA) (Rev 1).json
Nintendo DSi || X-Scape (USA) || Nintendo/Nintendo DSi/X-Scape (USA)/X-Scape (USA).json
Nintendo DSi || ZENONIA (USA) || Nintendo/Nintendo DSi/ZENONIA (USA)/ZENONIA (USA).json
Nintendo DSi || Zuma's Revenge! (USA) || Nintendo/Nintendo DSi/Zuma's Revenge! (USA)/Zuma's Revenge! (USA).json
