Apple iOS || 7th Guest, The (USA) || Other/Apple iOS/7th Guest, The (USA)/7th Guest, The (USA).json
Apple iOS || Hidden Agenda (USA) || Other/Apple iOS/Hidden Agenda (USA)/Hidden Agenda (USA).json
Apple iOS || Infection (USA) || Other/Apple iOS/Infection (USA)/Infection (USA).json
Apple iOS || Into the Dead (USA) || Other/Apple iOS/Into the Dead (USA)/Into the Dead (USA).json
Apple iOS || Jetpack Joyride (USA) || Other/Apple iOS/Jetpack Joyride (USA)/Jetpack Joyride (USA).json
Apple iOS || Kingturn RPG (USA) || Other/Apple iOS/Kingturn RPG (USA)/Kingturn RPG (USA).json
Apple iOS || LEGO Star Wars - The Complete Saga (USA) || Other/Apple iOS/LEGO Star Wars - The Complete Saga (USA)/LEGO Star Wars - The Complete Saga (USA).json
Apple iOS || LEGO Star Wars - The Force Awakens (USA) || Other/Apple iOS/LEGO Star Wars - The Force Awakens (USA)/LEGO Star Wars - The Force Awakens (USA).json
Apple iOS || Marvel Puzzle Quest - Hero RPG (USA) || Other/Apple iOS/Marvel Puzzle Quest - Hero RPG (USA)/Marvel Puzzle Quest - Hero RPG (USA).json
Apple iOS || Maze of Darkness (USA) || Other/Apple iOS/Maze of Darkness (USA)/Maze of Darkness (USA).json
Apple iOS || Mini Day Z - Zombie Survival (USA) || Other/Apple iOS/Mini Day Z - Zombie Survival (USA)/Mini Day Z - Zombie Survival (USA).json
Apple iOS || Monument Valley (USA) || Other/Apple iOS/Monument Valley (USA)/Monument Valley (USA).json
Apple iOS || Neko Atsume - Kitty Collector (USA) || Other/Apple iOS/Neko Atsume - Kitty Collector (USA)/Neko Atsume - Kitty Collector (USA).json
Apple iOS || Organ Trail - Director's Cut (USA) || Other/Apple iOS/Organ Trail - Director's Cut (USA)/Organ Trail - Director's Cut (USA).json
Apple iOS || Plague Inc. (USA) || Other/Apple iOS/Plague Inc. (USA)/Plague Inc. (USA).json
Apple iOS || Rage of Bahamut (USA) || Other/Apple iOS/Rage of Bahamut (USA)/Rage of Bahamut (USA).json
Apple iOS || Resident Evil - Degeneration (USA) || Other/Apple iOS/Resident Evil - Degeneration (USA)/Resident Evil - Degeneration (USA).json
Apple iOS || Resident Evil 4 (USA) || Other/Apple iOS/Resident Evil 4 (USA)/Resident Evil 4 (USA).json
Apple iOS || Rick and Morty - Pocket Mortys (USA) || Other/Apple iOS/Rick and Morty - Pocket Mortys (USA)/Rick and Morty - Pocket Mortys (USA).json
Apple iOS || Scribblenauts Remix (USA) || Other/Apple iOS/Scribblenauts Remix (USA)/Scribblenauts Remix (USA).json
Apple iOS || Sega Classics - Altered Beast (USA) || Other/Apple iOS/Sega Classics - Altered Beast (USA)/Sega Classics - Altered Beast (USA).json
Apple iOS || Sega Classics - Beyond Oasis (USA) || Other/Apple iOS/Sega Classics - Beyond Oasis (USA)/Sega Classics - Beyond Oasis (USA).json
Apple iOS || Sega Classics - Comix Zone (USA) || Other/Apple iOS/Sega Classics - Comix Zone (USA)/Sega Classics - Comix Zone (USA).json
Apple iOS || Sega Classics - Crazy Taxi (USA) || Other/Apple iOS/Sega Classics - Crazy Taxi (USA)/Sega Classics - Crazy Taxi (USA).json
Apple iOS || Sega Classics - Decap Attack (USA) || Other/Apple iOS/Sega Classics - Decap Attack (USA)/Sega Classics - Decap Attack (USA).json
Apple iOS || Sega Classics - Dynamite Headdy (USA) || Other/Apple iOS/Sega Classics - Dynamite Headdy (USA)/Sega Classics - Dynamite Headdy (USA).json
Apple iOS || Sega Classics - ESWAT - City Under Siege (USA) || Other/Apple iOS/Sega Classics - ESWAT - City Under Siege (USA)/Sega Classics - ESWAT - City Under Siege (USA).json
Apple iOS || Sega Classics - Ecco the Dolphin (USA) || Other/Apple iOS/Sega Classics - Ecco the Dolphin (USA)/Sega Classics - Ecco the Dolphin (USA).json
Apple iOS || Sega Classics - Golden Axe (USA) || Other/Apple iOS/Sega Classics - Golden Axe (USA)/Sega Classics - Golden Axe (USA).json
Apple iOS || Sega Classics - Golden Axe II (USA) || Other/Apple iOS/Sega Classics - Golden Axe II (USA)/Sega Classics - Golden Axe II (USA).json
Apple iOS || Sega Classics - Golden Axe III (USA) || Other/Apple iOS/Sega Classics - Golden Axe III (USA)/Sega Classics - Golden Axe III (USA).json
Apple iOS || Sega Classics - Gunstar Heroes (USA) || Other/Apple iOS/Sega Classics - Gunstar Heroes (USA)/Sega Classics - Gunstar Heroes (USA).json
Apple iOS || Sega Classics - Kid Chameleon (USA) || Other/Apple iOS/Sega Classics - Kid Chameleon (USA)/Sega Classics - Kid Chameleon (USA).json
Apple iOS || Sega Classics - Phantasy Star II (USA) || Other/Apple iOS/Sega Classics - Phantasy Star II (USA)/Sega Classics - Phantasy Star II (USA).json
Apple iOS || Sega Classics - Ristar (USA) || Other/Apple iOS/Sega Classics - Ristar (USA)/Sega Classics - Ristar (USA).json
Apple iOS || Sega Classics - Shining Force (USA) || Other/Apple iOS/Sega Classics - Shining Force (USA)/Sega Classics - Shining Force (USA).json
Apple iOS || Sega Classics - Sonic CD (USA) || Other/Apple iOS/Sega Classics - Sonic CD (USA)/Sega Classics - Sonic CD (USA).json
Apple iOS || Sega Classics - Sonic the Hedgehog (USA) || Other/Apple iOS/Sega Classics - Sonic the Hedgehog (USA)/Sega Classics - Sonic the Hedgehog (USA).json
Apple iOS || Sega Classics - Sonic the Hedgehog 2 (USA) || Other/Apple iOS/Sega Classics - Sonic the Hedgehog 2 (USA)/Sega Classics - Sonic the Hedgehog 2 (USA).json
Apple iOS || Sega Classics - Space Harrier II (USA) || Other/Apple iOS/Sega Classics - Space Harrier II (USA)/Sega Classics - Space Harrier II (USA).json
Apple iOS || Sega Classics - Streets of Rage (USA) || Other/Apple iOS/Sega Classics - Streets of Rage (USA)/Sega Classics - Streets of Rage (USA).json
Apple iOS || Sega Classics - Streets of Rage 2 (USA) || Other/Apple iOS/Sega Classics - Streets of Rage 2 (USA)/Sega Classics - Streets of Rage 2 (USA).json
Apple iOS || Sega Classics - Streets of Rage 3 (USA) || Other/Apple iOS/Sega Classics - Streets of Rage 3 (USA)/Sega Classics - Streets of Rage 3 (USA).json
Apple iOS || Sega Classics - The Revenge of Shinobi (USA) || Other/Apple iOS/Sega Classics - The Revenge of Shinobi (USA)/Sega Classics - The Revenge of Shinobi (USA).json
Apple iOS || Sega Classics - Vectorman (USA) || Other/Apple iOS/Sega Classics - Vectorman (USA)/Sega Classics - Vectorman (USA).json
Apple iOS || Sega Classics - Virtua Fighter 2 (USA) || Other/Apple iOS/Sega Classics - Virtua Fighter 2 (USA)/Sega Classics - Virtua Fighter 2 (USA).json
Apple iOS || Sega Columns Deluxe (USA) || Other/Apple iOS/Sega Columns Deluxe (USA)/Sega Columns Deluxe (USA).json
Apple iOS || Silent Hill - The Escape (USA) || Other/Apple iOS/Silent Hill - The Escape (USA)/Silent Hill - The Escape (USA).json
Apple iOS || Solitaire (USA) || Other/Apple iOS/Solitaire (USA)/Solitaire (USA).json
Apple iOS || Solitaire Deluxe 2 - Card Game (USA) || Other/Apple iOS/Solitaire Deluxe 2 - Card Game (USA)/Solitaire Deluxe 2 - Card Game (USA).json
Apple iOS || Sonic Dash - Endless Running (USA) || Other/Apple iOS/Sonic Dash - Endless Running (USA)/Sonic Dash - Endless Running (USA).json
Apple iOS || Sonic Dash 2 - Sonic Boom (USA) || Other/Apple iOS/Sonic Dash 2 - Sonic Boom (USA)/Sonic Dash 2 - Sonic Boom (USA).json
Apple iOS || Sonic at the Olympic Games (USA) || Other/Apple iOS/Sonic at the Olympic Games (USA)/Sonic at the Olympic Games (USA).json
Apple iOS || Sonic the Hedgehog 4  - Episode I (USA) || Other/Apple iOS/Sonic the Hedgehog 4  - Episode I (USA)/Sonic the Hedgehog 4  - Episode I (USA).json
Apple iOS || Sonic the Hedgehog 4 - Episode II (USA) || Other/Apple iOS/Sonic the Hedgehog 4 - Episode II (USA)/Sonic the Hedgehog 4 - Episode II (USA).json
Apple iOS || Sorcery! (USA) || Other/Apple iOS/Sorcery! (USA)/Sorcery! (USA).json
Apple iOS || Steppy Pants (USA) || Other/Apple iOS/Steppy Pants (USA)/Steppy Pants (USA).json
Apple iOS || Super Flipside (USA) || Other/Apple iOS/Super Flipside (USA)/Super Flipside (USA).json
Apple iOS || Super Mario Run (USA) || Other/Apple iOS/Super Mario Run (USA)/Super Mario Run (USA).json
Apple iOS || Super Monkey Ball (USA) || Other/Apple iOS/Super Monkey Ball (USA)/Super Monkey Ball (USA).json
Apple iOS || Super Monkey Ball - Sakura (USA) || Other/Apple iOS/Super Monkey Ball - Sakura (USA)/Super Monkey Ball - Sakura (USA).json
Apple iOS || Super Monkey Ball 2 (USA) || Other/Apple iOS/Super Monkey Ball 2 (USA)/Super Monkey Ball 2 (USA).json
Apple iOS || Superbrothers - Sword & Sorcery EP (USA) || Other/Apple iOS/Superbrothers - Sword & Sorcery EP (USA)/Superbrothers - Sword & Sorcery EP (USA).json
Apple iOS || Tesla Wars HD (USA) || Other/Apple iOS/Tesla Wars HD (USA)/Tesla Wars HD (USA).json
Apple iOS || Tetris Blitz (USA) || Other/Apple iOS/Tetris Blitz (USA)/Tetris Blitz (USA).json
Apple iOS || Tiny Wings (USA) || Other/Apple iOS/Tiny Wings (USA)/Tiny Wings (USA).json
Apple iOS || Tiny Wings HD (USA) || Other/Apple iOS/Tiny Wings HD (USA)/Tiny Wings HD (USA).json
Apple iOS || Vigil RPG (USA) || Other/Apple iOS/Vigil RPG (USA)/Vigil RPG (USA).json
Apple iOS || Virtua Tennis Challenge (USA) || Other/Apple iOS/Virtua Tennis Challenge (USA)/Virtua Tennis Challenge (USA).json
Apple iOS || Where's My Water (USA) || Other/Apple iOS/Where's My Water (USA)/Where's My Water (USA).json
Apple iOS || Wizardry - Labyrinth of Lost Souls (USA) || Other/Apple iOS/Wizardry - Labyrinth of Lost Souls (USA)/Wizardry - Labyrinth of Lost Souls (USA).json
Apple iOS || Woodventure - Mahjong Connect (USA) || Other/Apple iOS/Woodventure - Mahjong Connect (USA)/Woodventure - Mahjong Connect (USA).json
Apple iOS || World War Z (USA) || Other/Apple iOS/World War Z (USA)/World War Z (USA).json
